case_id,citing_attacker,position
USA-2018-PITTSBURGH,Balliet,0
USA-2018-PITTSBURGH,Krajcik,0
USA-2018-PITTSBURGH,Henderson,0
USA-2018-PITTSBURGH,Timofey K (Odintsovo 2025),0
NZL-2019-CHRISTCHURCH,Earnest,0
NZL-2019-CHRISTCHURCH,Crusius,0
NZL-2019-CHRISTCHURCH,Manshaus,0
NZL-2019-CHRISTCHURCH,Balliet,0
NZL-2019-CHRISTCHURCH,Rathjen,0
NZL-2019-CHRISTCHURCH,Gendron (primary),0
NZL-2019-CHRISTCHURCH,Krajcik (primary),0
NZL-2019-CHRISTCHURCH,Palmeter,0
NZL-2019-CHRISTCHURCH,Garcia,0
NZL-2019-CHRISTCHURCH,Gruppe S plot,0
NZL-2019-CHRISTCHURCH,Henderson,0
NZL-2019-CHRISTCHURCH,Timofey K (Odintsovo 2025),0
NZL-2019-CHRISTCHURCH,Kucukyetim (Eskisehir 2024),0
NZL-2019-CHRISTCHURCH,Casap,0
NZL-2019-CHRISTCHURCH,dozens of foiled plotters,0
USA-2019-POWAY,Manshaus,0
USA-2019-POWAY,Balliet,0
USA-2019-POWAY,Gendron,0
USA-2019-POWAY,Krajcik,0
USA-2019-POWAY,Henderson,0
JPN-2019-KYOANI,Square Enix threat 23 July 2019,0
JPN-2019-KYOANI,Visual Arts/Key threat by Saiki Akagawa Aug 2019,0
JPN-2019-KYOANI,Gainax threat Oct 2019,0
JPN-2019-KYOANI,"Shigeru Okada's Tokushima Acty Annex arson 14 March 2021 (told police ""imitating the Kyoto Animation incident"")",0
USA-2019-ELPASO,Gendron,0
USA-2019-ELPASO,Krajcik,0
USA-2019-ELPASO,Henderson,0
USA-2019-ELPASO,Timofey K (Odintsovo 2025),0
DEU-2019-HALLE,Gendron,0
DEU-2019-HALLE,Krajcik,0
DEU-2019-HALLE,Henderson,0
DEU-2019-HALLE,Kucukyetim (Eskisehir),0
DEU-2019-HALLE,Timofey K (Odintsovo),0
DEU-2020-HANAU,referenced in Terrorgram materials,0
FRA-2020-PATY,"Mogouchkov (Arras 2023, structural)",0
RUS-2021-KAZAN,"Bekmansurov (Perm, explicitly in manifesto)",0
RUS-2021-KAZAN,Kazantsev,0
RUS-2021-KAZAN,Afanaskina (alleged),0
RUS-2021-KAZAN,Kozak (Prague 2023),0
UK-2021-PLYMOUTH,"Lex Ashton (CCH Sur 2025, structural)",0
JPN-2021-KEIO,Shinkansen copycat 8 Nov 2021,0
USA-2022-BUFFALO,"Krajcik (named as ""final nail in the coffin"")",0
USA-2022-BUFFALO,Henderson,0
USA-2022-BUFFALO,Timofey K (Odintsovo 2025),0
USA-2022-BUFFALO,many later plotters,0
JPN-2022-ABE,"Kimura (Kishida 2023, structural/behavioral)",0
SVK-2022-BRATISLAVA,Henderson,0
SVK-2022-BRATISLAVA,"Casap (explicit in ""Accelerate the Collapse"" manifesto)",0
SVK-2022-BRATISLAVA,Timofey K (Odintsovo),0
SVK-2022-BRATISLAVA,Kucukyetim (Eskisehir 2024),0
USA-2023-NASHVILLE,Rupnow (direct Columbine canon),0
USA-2023-NASHVILLE,Henderson,0
USA-2023-ALLEN,Timofey K (Odintsovo — engraved on imitation pistol),0
USA-2023-JACKSONVILLE,Kucukyetim (saints list),0
USA-2023-JACKSONVILLE,Timofey K,0
TUR-2024-ESKISEHIR,"Henderson (Antioch 2025 — ""Goldson TheDude Sincapgrad"" cited by Henderson as mentor)",0
TUR-2024-ESKISEHIR,Rupnow (Madison 2024 — pattern echoes),0
TUR-2024-ESKISEHIR,"Timofey K (Odintsovo 2025, cited inspiration)",0
USA-2024-MADISON,"Westman (Minneapolis 2025 — ""Rupnow"" written on weapons)",0
USA-2025-ANTIOCH,Casap (Mar 2025),0
USA-2025-ANTIOCH,Timofey K (Odintsovo 2025 implicitly in group),0
